place_id,name,primary_type,types,formatted_address,lat,lng,national_phone,email,website_uri,subject,body
ChIJectiHAC1RIYRGpNNxgqQmLA,CHEF TRUCK,turkish_restaurant,turkish_restaurant|breakfast_restaurant|fast_food_restaurant|restaurant|point_of_interest|food|establishment,"1906 E Cesar Chavez St, Austin, TX 78702, USA",30.2571689,-97.7239049,(737) 786-5544,,,,
ChIJO6qTRDi1RIYR47NxF1FfC5o,Food Trucks,mexican_restaurant,mexican_restaurant|restaurant|point_of_interest|food|establishment,"609 Red River St, Austin, TX 78701, USA",30.267044,-97.73686219999999,,,,,
ChIJiZwb7-u1RIYRzfj2WD7RjzM,Afghan Food Truck,food,point_of_interest|food|establishment,"717 Red River St, Austin, TX 78701, USA",30.2680858,-97.73634229999999,(512) 207-0810,,,,
ChIJEfixwAC1RIYRIWw9EhxaKK8,Suns Out Buns Out Burger Company Austin TX,hamburger_restaurant,hamburger_restaurant|american_restaurant|restaurant|point_of_interest|food|establishment,"2512 Rio Grande St, Austin, TX 78705, USA",30.290540000000004,-97.7446887,(737) 296-6043,,,,
ChIJKTCiRtq3RIYRzQ0MIrWpl34,Santo Patio Taco Trailer,mexican_restaurant,mexican_restaurant|restaurant|point_of_interest|food|establishment,"979 Springdale Rd, Austin, TX 78702, USA",30.2624483,-97.6965058,(737) 419-7841,,,,
ChIJNRpePJ21RIYReWmVRuMSBFc,Polvos Truck,restaurant,restaurant|point_of_interest|food|establishment,"440 E St Elmo Rd, Austin, TX 78745, USA",30.215519199999996,-97.76250329999999,,,,,
ChIJiYiv5ta1RIYR5J5RdveDFog,Food Trucks,food_court,food_court|point_of_interest|food|establishment,"2525 Rio Grande St, Austin, TX 78705, USA",30.29053,-97.74467000000001,,,,,
ChIJAwDkM1jNRIYRZq85ajXg9X0,Hamilton Food Park,food_court,food_court|food|point_of_interest|establishment,"5002 Hamilton Rd, Austin, TX 78759, USA",30.4029998,-97.74708129999999,,,,,
ChIJd5O4KgC1RIYRcWW9tdldyN8,Webberville Food Truck Park,food_court,food_court|food|point_of_interest|establishment,"2505 Webberville Rd, Austin, TX 78702, USA",30.2629914,-97.7137803,,,,,
ChIJC0FVN5W0RIYRTDp7JIbcIVY,Taqueria La Esperanza,mexican_restaurant,mexican_restaurant|restaurant|food|point_of_interest|establishment,"1305 E Cesar Chavez St, Austin, TX 78702, USA",30.2592508,-97.7311431,(512) 680-2943,,,,
ChIJkU-GR2-1RIYR70InqdFd6LY,The Oasis Foodpark,food_court,food_court|food|point_of_interest|establishment,"517 N Interstate 35 Frontage Rd, Austin, TX 78702, USA",30.2652714,-97.7340972,(737) 270-4353,,,,
ChIJZQ_ku9q1RIYRSZo52NIILHs,Shako Mako Halal,mediterranean_restaurant,mediterranean_restaurant|restaurant|food|point_of_interest|establishment,"701 Trinity St, Austin, TX 78701, USA",30.268006099999994,-97.7386696,(512) 775-7019,,,,
ChIJq6qqqqe1RIYRWw5HH7Dud1M,1st Choice Mediterranean Food,mediterranean_restaurant,mediterranean_restaurant|halal_restaurant|restaurant|food|point_of_interest|establishment,"403 E 6th St, Austin, TX 78701, USA",30.266859699999994,-97.7391815,(512) 422-8158,,,,
ChIJIVbMnCm1RIYRmfoth5AKrdo,Tacos Juanita,mexican_restaurant,mexican_restaurant|restaurant|food|point_of_interest|establishment,"1512 E 6th St, Austin, TX 78702, USA",30.263256799999997,-97.726663,(512) 290-8348,,,,
ChIJEVm2j1W1RIYRwxOags8qT1A,Tony's Jamaican Food Austin,restaurant,food_court|restaurant|food|point_of_interest|establishment,"1124 E 11th St, Austin, TX 78702, USA",30.268886100000003,-97.7279958,(512) 945-5090,,,,
ChIJf-fSwl61RIYRHbWsYUDksQI,Veracruz Antojitos Mexicanos #2,taco_restaurant,taco_restaurant|mexican_restaurant|restaurant|food|point_of_interest|establishment,"1606 E 6th St, Austin, TX 78702, USA",30.263108399999997,-97.7260866,(512) 947-6988,,,,
